plot	type	id	true_y	Observer	measure
bar_5	bar	E	0.00000423	Margaux	4.22867513611615E-06
scatter_1	scatter	1	0.0000459	Margaux	4.5906200317965E-05
scatter_1	scatter	2	0.0000646	Margaux	6.45866454689984E-05
scatter_1	scatter	3	0.0000977	Margaux	9.75755166931637E-05
scatter_1	scatter	4	0.000059	Margaux	5.90222575516693E-05
scatter_1	scatter	5	0.0000285	Margaux	2.86168521462639E-05
scatter_1	scatter	6	0.0000641	Margaux	6.39904610492846E-05
scatter_1	scatter	7	0.000104	Margaux	0.000103934817170111
scatter_1	scatter	8	0.0000421	Margaux	4.21303656597774E-05
scatter_1	scatter	9	0.0000908	Margaux	9.06200317965024E-05
scatter_1	scatter	10	0.0000415	Margaux	4.15341812400636E-05
scatter_1	scatter	11	0.0000298	Margaux	2.98092209856916E-05
scatter_2	scatter	1	0.0000305	Margaux	3.0514096185738E-05
scatter_2	scatter	2	0.0000182	Margaux	1.83084577114428E-05
scatter_2	scatter	3	0.0000275	Margaux	2.75953565505804E-05
scatter_2	scatter	4	0.00000912	Margaux	9.15422885572139E-06
scatter_2	scatter	5	0.0000718	Margaux	7.17744610281924E-05
scatter_2	scatter	6	0.0000595	Margaux	5.95688225538972E-05
scatter_2	scatter	7	0.0000135	Margaux	1.35323383084577E-05
scatter_2	scatter	8	0.0000637	Margaux	6.3681592039801E-05
scatter_2	scatter	9	0.0000435	Margaux	4.35157545605307E-05
scatter_2	scatter	10	0.000035	Margaux	3.50248756218906E-05
scatter_2	scatter	11	0.0000123	Margaux	1.23383084577114E-05
scatter_2	scatter	12	0.0000439	Margaux	4.39137645107794E-05
scatter_3	scatter	1	0.000027	Margaux	2.71217712177122E-05
scatter_3	scatter	2	0.0000243	Margaux	2.43542435424354E-05
scatter_3	scatter	3	0.0000114	Margaux	1.14391143911439E-05
scatter_3	scatter	4	0.000011	Margaux	1.1070110701107E-05
scatter_3	scatter	5	0.000025	Margaux	2.50922509225092E-05
scatter_3	scatter	6	0.0000426	Margaux	4.2619926199262E-05
scatter_3	scatter	7	0.0000184	Margaux	1.8450184501845E-05
scatter_3	scatter	8	0.0000125	Margaux	1.25461254612546E-05
scatter_3	scatter	9	0.0000158	Margaux	1.58671586715867E-05
scatter_3	scatter	10	0.0000262	Margaux	2.61992619926199E-05
scatter_3	scatter	11	0.00000586	Margaux	5.90405904059041E-06
scatter_3	scatter	12	0.000037	Margaux	3.690036900369E-05
scatter_3	scatter	13	0.00000941	Margaux	9.40959409594097E-06
scatter_4	scatter	1	0.0000179	Margaux	1.78606965174129E-05
scatter_4	scatter	2	0.0000202	Margaux	2.01990049751244E-05
scatter_4	scatter	3	0.00000596	Margaux	5.92039800995024E-06
scatter_4	scatter	4	0.0000105	Margaux	1.04975124378109E-05
scatter_4	scatter	5	0.0000257	Margaux	2.56716417910448E-05
scatter_4	scatter	6	0.000015	Margaux	1.49751243781095E-05
scatter_4	scatter	7	0.00000625	Margaux	6.21890547263681E-06
scatter_4	scatter	8	0.0000239	Margaux	2.38308457711443E-05
scatter_4	scatter	9	0.00000792	Margaux	7.91044776119403E-06
scatter_4	scatter	10	0.0000252	Margaux	2.51243781094527E-05
scatter_4	scatter	11	0.0000243	Margaux	2.42786069651741E-05
scatter_4	scatter	12	0.00000627	Margaux	6.26865671641791E-06
scatter_5	scatter	1	0.00000209	Margaux	2.10332103321033E-06
scatter_5	scatter	2	0.00000808	Margaux	8.08118081180812E-06
scatter_5	scatter	3	0.00000369	Margaux	3.690036900369E-06
scatter_5	scatter	4	0.00000355	Margaux	3.54243542435424E-06
scatter_5	scatter	5	0.00000423	Margaux	4.24354243542435E-06
scatter_5	scatter	6	0.00000483	Margaux	4.8339483394834E-06
scatter_5	scatter	7	0.00000394	Margaux	3.94833948339483E-06
scatter_5	scatter	8	0.00000473	Margaux	4.72324723247232E-06
scatter_5	scatter	9	0.0000014	Margaux	1.40221402214022E-06
scatter_5	scatter	10	0.0000025	Margaux	2.50922509225092E-06
scatter_5	scatter	11	0.00000886	Margaux	8.85608856088561E-06
